Province Name,Denomination,Address,Tel,Fax
Agadir,FOUR SEASONS TRAVEL AGENCY,"44, Batiment Tigmi Av des FAR",528844499,528843435
Agadir,GLOBUS VOYAGES,"Bd du 20 Août, Complexe Hôtel Tivoli",0528 844059,0528 843127
Agadir,GO HOLIDAYS,"6, Galerie Al Inbiâat Hassan II BP: 539",0528 826801,0528 826800
Agadir,HC TRAVEL,"Imm 42, Appt 27 Essaada GH7, Hay Mohammadi",0528 212396,0528 212396
Agadir,HEBDO VOYAGES,"111, Av. Hassan II",0528 812982,0528 820951
Agadir,HOLIDAY PREMIERE,"C/O Shourouh, Av. Hassan II, Imm. Des Avocats n°2",0528 826930,0528 826937
Agadir,HOLIDAYS SERVICES,Av. Hassan II BP: 272,0528 841220,0528 841849
Agadir,HTT GLOBAL HOLIDAYS AND INCENTIVES,"n°1, 2ème étage, Imm Oumlil, Av. Hassan II",0528 826766,0528 824999
Agadir,HYATT VOYAGES,"Bd Med V, Imm. Iguenouane",0528 845390,0528 840692
Agadir,ILLIGH TOURISME,"Rue de l'Hôtel de Ville X3, n°10 BP: 892",0528 826201,0528 826203
Agadir,INCOMING EMOTIONS MOROCCO,N°15- 4è étage- Imm Inflass- Station Hamra Bd Abderrahim Bouabid,0528 237038,0528 237038
Agadir,JAD TRAVEL,"Bloc B n°B11, Complexe Tivoli, Av. 20 Août",0528 843386,0528 840132
Agadir,KAOUTAR TOURS,34 rue des oranges,0528 844814,0528 846967
Agadir,KARAM VOYAGES,"10, Place Med VI",0528 841140,0528 841040
Agadir,LIA VOYAGES,6 Rue de la Foire Imm Bouaida,0528 820642,0528 820647
Agadir,LOQMAN VOYAGES,"Bloc E n°427, Av Abdellah El Guerssifi, Hay Al Houda",0528 321414,neant
Agadir,MAGHRIB VOYAGES,"Imm. Oubidar, Rue de Marrakech, QI",0528 845354,0528 843072
Agadir,MAGIC HOLIDAYS,"N°124, Imm Ibn Khaldoun, Bensergao",528281001,0528 281002
Agadir,MAJOR TRAVEL SERVICES,"Bd du 20 aôut, Complexe Manader",0528 827429,0528 827279
Agadir,MAOUASSIM VOYAGES,"Imm x 3, n°4 Av My Abdellah",0528 821911,0528 82912
Agadir,MAROC HORIZON D'AVENTURES,"N°76, Av Al Khawarizmi, Cité Al Massira",0528 213426,0528 213549
Agadir,MASSIRA TRAVEL AGENCY,"25, Boulevar du 20 août (STB)",0528 826705,0528 821913
Agadir,MATCH TOURS,N° C21 Galeries Talborjt Cité Talborjt,0528 380005,0528 380006
Agadir,MD TRAVEL,"Imm de l'avocat, n° 510 Av Hassan II",0528 826882,0528 826869
Agadir,MIMOSA TRAVEL,"Av. Hassan II, n°8 Dar Al Mouhami",0528 848898,0528 848898
Agadir,MOUAHA TOURS,"90, Rue des Orangers BP 646",0528 841880,0528 841282
Agadir,NATURE HOLIDAY,"n°36, Bloc 4, Batwar, QI",0528 840099,0528 840668
Agadir,NEW APPROACH HOLIDAYS,"111, Av. Hassan II, BP: 681, Imm. Comim- 80000",0528 848017,0528 847633
Agadir,OPTIMAL TOURISME (IN & OUT OF AFRICA),"Omplexe Commercial Tivoli Bloc D, Secteur Balnéaire",0528 820507,0528 820516
Agadir,ORION TREK VOYAGES,Av Hassan II n° 520 5ème Etage,0528 824898,0528 824894
Agadir,PAPOO.COM VOYAGES,"Imm. de la Fondation Hassan II, Av. Med V",0548 824144,0548 283202
Agadir,PEGASE VOYAGES,"Av, El Moukaouama Imm Talbi",0528 230725,0528 230748
Agadir,PERFECT HOLIDAYS,"Imm Ibn Sina, Bloc B13, n°106, Cité Dakhla",0528 233681,0528 233681
Agadir,PERFECT TRIP,"Bureau n°9, Sis à Imm Benziane 1er étage Av Hassan II",0528 842429,0528 822263
Agadir,SAHARA TOURS INTERNATIONAL,"27- 29, complexe Agador, Tamelalt Bd 20 août",0528 840421,0528 840328
Agadir,SAN MARINO VOYAGES,"Bloc FM, n°18 Bis, Cité Dakhla",0528 230021,0528 230020
Agadir,SKYMAX HOLIDAYS (ex:UNIVERS HOLIDAYS),"Bd du 20 août, complexe hôtel Tivoli",0528 841472,0528 843127
Agadir,SOUSS SUD TOURISME,20 Av des FAR,0528 841386,0528 846089
Agadir,SPECIAL HOLIDAYS MOROCCO,"Magasin n°7 Rue Tarabouls Q, I",0528 847778,0528 847778
Agadir,SUN & SEA TRAVEL,"N°13, Imm Oumlil, 2ème étage, Av. Hassan II",0528 828910,0528 828911
Agadir,SWIFT TRAVEL,"Fondation Hassan II, Av. Med V, Complexe Transatlantique",05 28 82 43 37,0528 82 43 36
Agadir,THE HORIZON 4 YOU TRAVELS & TOURISME,"Narjiss III, Imm 5, appt 312, Amsirnate",0528 217373,0528 217374
Agadir,TIME TRAVEL (SARL),"N°11, Imm. Aicha, Angle Av. Hassan II et Rue d'Oujda",0528 827171,0528 848585
Agadir,TOP VOYAGES,"Av. Hassan II, Imm Tarik Annoumou, BP: 470",0528 846514,0528 843294
Agadir,TOURING OFFICE AGADIR,"38, Rue Des orangers Villle Nouvelle 80001",0528 822949,0528 841866
Agadir,TRAVEL CONCEPT MOROCCO,"Imm ACIMA, Porte B N°2, 1er étage, Av Hassan II",0528 824576,0528 841992
Agadir,TRAVEL LAND,"253, Av. Hassan II",0528 820091,0528 823721
Agadir,VISION TOURS,"22, Rue des Orangers, 80000",0528 840179,0528 824436
Ahfir,VOYAGES EL HOUDA,"112, rue chouhada",0536 629373,0536 629373
Al Hoceima,ALWABIL ASSAYEB,"66, Av Al Wahda, Imm n°64- Imzouren",0539 806346,0539 806346
Al Hoceima,BADES VOYAGES,"1, rue Mohamed Zerktouni",0539 982147,0539 980085
Al Hoceima,CHAFARINAS TOURS,"109, Bd Mohamed V",0539 841323/24,0539 841325
Al Hoceima,KETAMA VOYAGES,"138, Bd Med V",0539 984506,0539 982772
Al Hoceima,NIKOR VOYAGES,"149, Bd Mohamed V",0539 840065,0539 840067
Arfoud,ARFOUD VOYAGES,Lamaadi Tizimi BP 205,0535 578455,neant
Arfoud,TAFILALET AVENTURE ET DECOUVERTE,"C/O Hôtel Tafilalet, rue Mly Ismail",0535 577518,0535 576036
Asillah,JAOUHARAT EL HARAM,"Avenue Ibn Sinaa, n°12",0539 417390,539417390
Azilal,ATLAS CULTURAL ADVENTURES,"Imm Malak, Av Hassan II, Appt n°5 Bloc A",neant,neant
Azilal,FIORENTINA VOYAGE,Hay Ennasseur Afourer,neant,neant
Azilal,OT VOYAGES,"3é étage, Imm Aït Issimour Hay Ouzoud, Bd Hassan II",700195455,neant
Azrou,GOURAUD VOYAGES,"261, Bis Av. Hassan II, Route de Meknès",0535 564949,0535 564748
Ben Slimane,ZEM ZEM ASFAR,"Rue Tarik Ibn Ziad n°3, Lotissement Najmi",0523 292529,0523 298644
Benguerir,ALMASSA VOYAGES,"Av hassan II, 2è étage Appt 2, n°121",0524 312935,neant
Benguerir,ASFAR EL GHOUFRAN,"Lot Jnane El Khir, n°1427",0524 323125,0524 323125
Benguerir,ASFAR TIBA,"Bd Med V, Jamâa Erradi; n°1",612845265,0524 315232
Benguerir,SAFA TRAVEL,"Av. Med V, n°13 1er étage",0524 316831,0524 316831
Benhmed,NIMA VOYAGE,"22, Bd Ben Zaidoune-PAM",neant,neant
Benhmed,ROMA VOYAGE,"15, Rue 11 Janvier, Lot Erraja",0523 407884,0523 407889
Béni-Mellal,AGENCE DE VOYAGE ZOHAL,"120, Bloc 7 GD Moutanabi, Etage 2",0523 489891,0523 489891
Béni-Mellal,AIN ASSERDOUNE VOYAGES,"3 -4, Avenue Ben  Khaldoune",0523 485828,0523 489127
Béni-Mellal,ANYMA SERVICES TRAVEL,"179, Bd des FAR, Souk Sebt",0523 465808,0523 435808
Béni-Mellal,ASSFAR AL OUMRA,"215, Av Moutarabi Quartier Zitoun Lamhal",0523 420888,0523 486267
Béni-Mellal,CHACHEMS TOURS,"622, Bd Tamgnount",0523 482465,0523 482430
Béni-Mellal,EURO AFRICA VOYAGES,"144, Bd Hassan II",0523 424000,0523 422028
Béni-Mellal,IMILCHIL VOYAGES,"333, Bd Mohamed V",0523 489060,0523 487259
Béni-Mellal,KASSILA VOYAGES,"376, Bd Mohamed V",0523 483938,0523 480022
Béni-Mellal,STE TABANT GREEN VOYAGE (EX:TABANT VOYAGES),"14, Angle Bd Chabi et Bd Moutanabi, 2è étage, Lot Ziania",0523 482693,0523 482693
Béni-Mellal,TACHAOUINE VOYAGE,"17, Bd Hassan II, Hay Adarissa, 1er étage",0523 488567,523488567
Béni-Mellal,TADLA VOYAGES,"43, Bd Bourkia",0523 482411,0523 483246
Béni-Mellal,TORIN VOYAGES,"412, Bd Mohamed V",0523 480260,0523 480191
Béni-Mellal,WYAM VOYAGES,"2, Avenue Hassan II",0533 487346,0533 489660
Berchid,AGENCE DE VOYAGE RIMA,"RDC 93, Lot Coopérative El Wafa, Bd Oum Rabii DEROUA",0522 515219,neant
Berchid,ASSAHIL VOYAGES ET TOURISME,"N°133, El Wahda 2, 1er étage, Had Soualem",0522 963469,0522 963024
Berchid,BLADI HIYA BLADI SERVICES,"Rue 11 janvier, n°115",0522 539665,neant
Berchid,FIRDAOUSSE VOYAGES,"28, Bd Hassan Bnou Tabit Hay Ezzahra",0522 328050,0522 325511
Berchid,HAWLADAR,"Résidence Nour A/ 4 Bd Med V, N°10-10 A, Etage 01",0522 336037,neant
Berchid,JOUDIA VOYAGES,"N°24, Bd Moulay Ismail",0522 030117,0522 325499
Berchid,SB VOYAGES,"Résidence de la Gare, Bd Med V, n°9",0522 325541,0522 325742
Berchid,SOCIETE BASABRIN DE VOYAGE,"Lotissement Essafi, Bd Med V, N°49, Etage 1",0522 030306,0522 324627
Berchid,VOYAGE IMANE TOURS,"Lotissement Rabii, Résidence El Fath, n°45",0522 324627,0522 324627
Berchid,VOYAGES ANSSAR AL MADINA,"N°3, Angle Bd Med V et Rue Omar Ben Khattab, Etage 2",neant,neant
Berkane,ATHENE VOYAGES,"21, Bd Plestine, Hay Palestine",0536 610004,0536 610003
Berkane,BAMA TOURS,"66, Av. Mly Youssef- Hay Hassani",536613963,536615826
Berkane,BELKASSMI TOURS,"87, Bd Allal Ben Abdellah Hay Boukraa",0536 616726,0536 618530
Berkane,BENI SNASSEN VOYAGES,"32, Rue Chouhada, Hay El Hassni",0536 612364,0536 612343
Berkane,BERKANE VOYAGES,"7, Bis rue chouhada, BP 79",0536 614860,0536 619123
Berkane,EXPLO MED,"190, Bd Hassan II",0536 617895,536613342
Berkane,LAHSAINI VOYAGES,"84, RUE BEKKEY LAHBIL",0536 616237,0536 616609
Berkane,MOUMNI VOYAGES,"32, rue My Youssef",0536 617020,536616001
Berkane,ORIENTAL VOYAGES,"56, Bd Mohamed V",0536 613918,0536 610754
Berkane,TRIFFA VOYAGES,"37, Bd Mohamed V",0536 612282,0536 612119
Casablanca,ABDOU VOYAGES,"8, Rue Lieutenant Berge RDC",0522 555353,0522 555363
Casablanca,ABOU BICHR TOURS,"Oulfa, Bd Oum Rabii, Rue 78, n°8",0522 908232,0522 908232
Casablanca,ACCESS HOLIDAYS & EVENTS,"122, Bd d'Anfa",0522 474848,0522 474544
Casablanca,ACQUAMARINE TRAVEL,"73, Bd d'Anfa, Angle 1, Rue 1, Rue Clos de provence, Appt 304, 3è ETG",0522 268355,neant
Casablanca,ACTIV TRAVEL PARTNER,BD My Youssef des Résidences Bâtiment J.R.D.C droite,0522 270404,0522 274242
Casablanca,ADDAMANE TOURISME,"60 & 62, Rue Hadj Amar Riffi",522201346,0522 201327
Casablanca,ADDOHA VOYAGES,"75, Ter, rue Pierre Parent",0522 301171,0522 301392
Casablanca,ADONIS TRAVEL MOROCCO,"93, Bd Massira Khadra, 4ème ETG",0522 235851,neant
Casablanca,ADRA VOYAGES,"21, rue Ahmed Touki",0522 221604,0522 270043
Casablanca,ADVENTURE TRAVEL SERVICES,"225, Bd Mustapha El Maâni",0535 622926,0535 622987
Casablanca,AFIFI VOYAGES,"Rue 12, N°96, Jawhara Sidi Moumen",neant,neant
Casablanca,AGENCE DE VOYAGE ASSARAYA (EX HAJ JADIDI),"179, Av. My Hassan 1er",0522 201101,0522 201101
Casablanca,AGENCE DE VOYAGE ET DE TOURISME BADR,"Centre Commercial Riad 61 Av Lalla Yakoute, Angle Mustapha El Maâni n°23",0522 441824,0522 446547
Casablanca,AGENCE JAMAA VOYAGES,"RDC, Angle Rue Thionville et Bd Zerktouni",0522 209540,0522 224730
Casablanca,AH VOYAGES,"140, Bd Zoubir, RDC, M 140 A, Oulfa",0522 787900,neant
Casablanca,AIR TOURS MAROC,"14, ALLée d'Androméde",0522 860500,0522 860499
Casablanca,AJIAL VOYAGES,"Lots Khair, n°266, ETG 1, Sidi Maarouf",0522 975846,0522 335034
Casablanca,AL AMANA TRAVEL INC,"9, Angle Rue Fourat et Rue Abou Amrane fassi Rés Molko Lilllah Maarif Imm C, RDC",0522 233382,0522 233472
Casablanca,AL ASSIL VOYAGES ex (ALLIANCE TOURS,"33, Av Hassan Seghir, n°b 1-2",0522 448259,0522 448258
Casablanca,AL BAYT AL MAAMOUR TOURISME,"11, Bd Taza, Hay Inara 2, ETG 2, Ai¨n Chok",0522 215283,neant
Casablanca,AL OJOUR TRAVEL,"495, Bd Zerktouni, Rés Jad, ETG 1 Appt 2, Bourgogne",neant,neant
Casablanca,AL QUADISSIA VOYAGES,52 Bd Med VI,0522 448438,0522 300509
Casablanca,AL YOSR TRAVEL SERVICES,"39 Bis, Bd La Gironde",0522 307067,0522 307067
Casablanca,ALADIN TOURISME,"Av des FAR, Place Zellaka Anfa",0522 442323,0522 442323
Casablanca,ALAOULAYANE VOYAGES,"Rés Ach Charaf, n°HM2, Al Inara, Ain Chock",0522 522627,0522 522627
Casablanca,ALBATROS TRAVEL,"ANG Rue George Sand et Av Stendhal, N°42",neant,522472737
Casablanca,ALIZES TRAVEL,166-168 Avenue Mers Sultan,0522 276000,0522 267810
Casablanca,ALJAZIRA TOURISME TRAVEL SERVICES,"56, (ex40) Bd Lalla Yacout",0522 260484,0522 267296
Casablanca,ALL MOROCCO TRAVEL,"Esapce Paquet, Angle Rue Pierre Parent et Med Smiha 4è ETG, Bur n°403, Anfa20130",0522 542873,0522 542895
Casablanca,ALLIANCE TRAVEL,"47, Bd Med ben Abdellah Rés Bellevue Bâtiment B, 5è ETG n°1 et n°2",0522 209009,0522 208566
Casablanca,ALMOLTAZAM TRAVEL WORLD,"Angle Rue Ait Ba Amrane & Bd Med V, Imm A, ETG 6, Appt 606",0522 243800,0522 243800
Casablanca,ALR TOURS,"7, rue Lahcen Al Arjoun Quartier des Hôpitaux",0522 934361,0522 834363
Casablanca,AM VOYAGES,"79, Rue Jabir Ibnou Hayane, Résidence Anfa- Angle Bd d’Anfa",0522 202756,0522 486395
Casablanca,AMAD VOYAGES,"97, Avenue Hassan Seghir",0522 446593,0522 446601
Casablanca,AMAZONE TRAVEL,"1455, Bd. Med 6, Jamila 1, Rue 03, n°5, 1er ETG, CD",0522 551554,522564619
Casablanca,AMIS TOURS,"19, Av. My Hassan 1er",0522 261352,0522 470355
Casablanca,AMITIE ET VOYAGES INTERCONTINENTAUX(AVIC,5 rue 20 Amal 3 Sidi Bernoussi,0522 753065,0522 759053
Casablanca,AMITIE MAROC-CHINE VOYAGES (SARL) (AU),"Espace Paquet, Angle rue Pierre Parent et rue Med Smiha, Bureau 308",0522 540184,0522 540184
Casablanca,ANASTASIA TRAVEL,"119, Bd La Résistance, Etage 2, N°8",0522 945328,0522 945260
Casablanca,ANDALOUSSIA VOYAGES,"12, Angle Rue Haj Omar Riffi et Rue de Dixmude, Quartier Alsace Loraine",0522 220775,0522 208421
Casablanca,ARABIAN DISCOVERY TOURS & TRAVEL MAROC,"161, Bd Abelmoumen",0522 271700,0522 222400
Casablanca,ARCADIA VOYAGES,"Imm Roseau, Angle Av. 2 mars et Victor Hugo étage 5 n°30, Mers Sultan, 20490",0522 473122,0522 472974
Casablanca,ARTOURS VOYAGES,"12, Rue Chaouia (Ex Colbert)",0522 450075,0522 315334
Casablanca,ASFAR BENITTO,"Lot Al Maghreb Al Jadid, Imm 30 N°1, RDC, Lissasfa",0522 091469,neant
Casablanca,ASK MOROCCO TRAVEL,"122, -B- Lot El Farah II, Sidi Maarouf",0522 786566,0522 583437
Casablanca,ASPIRE TRAVEL,"35, Av. Hassan Seghir, Angle Rue d'Anjou ETG 2, Appt N°8",0522 450565,0522 451460
Casablanca,ASSAFA ASFAR,"66, Rue Mouftakar Abdelkader",0522 473200,522279796
Casablanca,ASSET VOYAGES MAROC,"601, Rue de Goulmima, ETG 3, Apt 13",0520 097120,neant
Casablanca,ATAWBA TOURS,"256-258, Rue Abdessalam Ben Mokhtar, GR 1, SM",0522 718167,neant
Casablanca,ATLANTIS VOYAGES,"20, Rue Colbert, Angle Allal Ben Abdellah",0522 314500,0522 443835
Casablanca,ATLAS VOYAGES,"150, Av de l'Armée Royale",0522 314798,0522 452574
Casablanca,AUREOLE VOYAGE,"96, Bd d'Anfa, Rés Printemps d'Anfa ETG 2, Appt 29",0522 492187,neant
Casablanca,AUX ZONES LIBRES,"179, Av Hassan 1er",0522 472747,0522 472769
Casablanca,AVENIDA WORLD SERVICES,"66, Bd Med Smiha",0522 310606,0522 314151
Casablanca,AZ TRAVEL SERVICES,"Angle rue Karatchi et rue Leghreni, Derb Omar",0523 451247,neant
Casablanca,AZHA TRAVEL GROUP,"22, Rue Kamal Med",0522 262676,0522 262678
Casablanca,AZOWAR VOYAGES,"42, Av Mers Sultan",0522 226192,0522 226194
Casablanca,BAB AL FIRDAWS TOURS,"Amal 4, Rue 62, N°16, Sidi Bernoussi",0522 741616,neant
Casablanca,BB TRAVEL 2 FUN,"23, Rue Bachir Ibrahimi, Rés El Mirage, La Gironde",neant,neant
Casablanca,BBA TRAVEL SARL,"96, Rue d'Agadir",0522 865548,0522 492744
Casablanca,BCM VOYAGES,"Lina Lot 316, ETG 2, Bur n°8, B3, Sidi Maarouf",0522 321590,0522 784657
Casablanca,BEDS GO,"304, Bd. Brahim Roudani, Rés. Achifa 1è ETG, Appt n°1",0522 521111,neant
Casablanca,BEIJIXING,"128, Rue de Metz, Derb Omar, Résidence Bureau Moulay El Arbi, ETG 5 Bur n°28",neant,neant
Casablanca,BEL EVASION,"233, Bd Emile Zola -Roches Noires-",0522 244162,neant
Casablanca,BEST EVENT,15/17 Rue du 6 Octobre et Angle Rue Hounaine Quartier Racine,0522 392186,0522 392187
Casablanca,BH TRAVEL,"14, Rue Ibn Khalouia",0522 272756,522204140
Casablanca,BOOKINGFLYER,"264, Route d'El Jadida, Angle Rue des Acacias Rés Wifak, ETG 2, n°25 Quartier Burger",0522 992860,0522 992860
Casablanca,BORN2BOOK MOROCCO,"Rue 76, N°153, GRP O, 1er ETG, Oulfa",neant,neant
Casablanca,CADDY VOYAGES,"97 Bd Hassan Seghir, Appt 112",0522 309671,0522 309962
Casablanca,CAPITAL INCENTIVE,280 Bd Bir Anzarane,0522 984898,0522 981398
Casablanca,CAPTAIN TRAVEL,"Imm Taya, n°23, Lot Les Arènes Rue n°2, Maarif, 2è ETG, n°9 et 10",0522 995907,0522 995907
Casablanca,CAR SERVICE TOURISME MOROCCO,"19, 21 Rue Allal Ben Abdellah",0522 278280,0522 205297
Casablanca,CARAVAN VOYAGES,"5, Av. des FAR, 1er étage",0522 299080,0522 299079
Casablanca,CARLSON WAGON LIT TRAVEL,"5, Avenue de l'Armée Royale",0522 200039,0522 277932
Casablanca,CASA VOYAGE TOURS,"82, Rue Allal Ben Abdellah",0522 449955,0522 449957
Casablanca,CASABLANCA FLY,"203, Bd Zerktouni",0522 369149,0522 369151
Casablanca,CASATOURS MAROC,"353, Bd. Med V, Roches Noires, 20300",0522 249737,0522 408426
Casablanca,CEBELI TARIK,"04, Rue de Berne, Résidence Tililla, ETG 3, n°07",522228445,neant
Casablanca,CHADIA TOURS,"159, Bd Yacoub Al Mansour",0522 256248,0522 256251
Casablanca,CHINA HOLIDAYS,"40, Bd Bahmad, ETG 5, Roches Noires",neant,neant
Casablanca,CLASSIC VOYAGES,"15, Résidence Sifia, Angle Bd Med V & Rue Loan",0522 541690,0522 541692
Casablanca,COLORFUL MOROCCO TRAVEL,"5, Rue Jaafar Ibnou Atiya et ANG Rue Sidi Ali Bourgogne",0522 274304,0522 274304
Casablanca,COMANAV VOYAGES,"43, Av des FAR",0522 312050,0522 310016
Casablanca,COMFORTABLE TRIP,"27, Bd El Qods, Fath 2, Imm 9, n°27, Aïn Chok, 20480",0522 219462,0522 873745
Casablanca,COMODO TRAVEL,"Bd Baghdad, Rue 142, N°16 Aïn Chock",0522 500777,0522 212434
Casablanca,CONCEPT VOYAGES,"ANG Rue 205, n°43 et Rue 215, n°2-4, Hay Mly Abdellah, Ain Chock",neant,neant
Casablanca,CONCORDE VOYAGES,"Avenue de l'Armée Royale, Tours des Habous",0522 310032,0522 310786
Casablanca,CONDORTIUM,"17, Espace Porte d'Anfa, étage 3, Bureau 11",0522 957700,0522 399724
Casablanca,CORPORATE TRAVEL MANAGEMENT,"96, Bd d'Anfa, Rés le Printemps d'Anfa, ETG 5 Apt 56",0522 268635,0522 268486
Casablanca,COSMOPOLITE TRAVEL & EVENTS,"Résidence Magna n°8, 5ème étage, Rue Assad Ibnou Zarara, Maârif",0522 234122,0522 234144
Casablanca,CTM TOURISME,"23, Rue Léon l'Africain",0522 451384,0522 441987
Casablanca,CULTURAL BRIDGES MOROCCO TRAVEL,"344, Rue Mostapha El Maani, ETG 1, Appt N°16",neant,neant
Casablanca,CV TRAVEL,"10, Av des FAR, Appt n°502",0522 473118,0522 223013
Casablanca,DAILY TRAVEL,"Groupe 3, Rue 41, Numero 05 sidi Moumen Jdid",0522 023247,0522 716229
Casablanca,DEHHAJ TRAVEL  (ex:TOWERS TOURS),"18, Rue Zouhour, Apt n°B3",0522 226319,0522 298881
Casablanca,DI VOYAGE,"9, RCE Al Mansouria, Place Al Yassir ETG 6, Apt 12, Belvedere",0522 249851,0522 249859
Casablanca,DIRECTOURS,"N°1, Rue Mohamed Diouri",0522 476210,0522 476211
Casablanca,DISNEY TRAVEL   (EX: PLEIN CIEL TRAVEL ;1ST A TRAVELS),"12, Rue Chaouia, Ex Rue Colbert",0522 541000,0522 541001
Casablanca,DOHA TRAVEL AGENCY,"104, Boulevard Abdelmoumen, 1er étage n° 3",0522 236777,0522 254825
Casablanca,DOLFI VOYAGES,"3, Avenue 10 mars",0522 599023,0522 599026
Casablanca,DOUNIA TRAVEL,"10, Rue El Oraibi Jilali",0522 277359,0522 273991
Casablanca,DS VOYAGES,"Rue Al Jounaid, Résidence les Perles, Imm A, Magasin n°4, Maârif, Anfa",0522 362960,0522 362961
Casablanca,DYNAMIC TOURS,El Manar-Lotissement Mzouka 5 - Lot n° 17,0522 361292,0522 361297
Casablanca,EAGLE VOYAGES,"246, Bd Zerktouni",0522 204961,0522 204693
Casablanca,EDLANE VOYAGES,"132, Bd Oued Tensift, Angle Bd Tassawt, Oulfa",0522 916200,0522 915937
Casablanca,EL BAHI VOYAGES,"52, Angles Rues Socrate et Abou Taour 1è ETG Appt n°2, Maârif Extension",0522 202006,0522 201578
Casablanca,EL HANSALI TOURS,Centre Commercial Badr n°29/30 Hay Californie,0522 218812,0522 219855
Casablanca,EL YAKOUT VOYAGES,"62, Espace Paquet 1er étage, Bureau 107 Angle Rue Pierre Parent et Med Smiha",0522 302548,0522 444205
Casablanca,ELEGANCE TRAVEL,"Angle Rue Al Kadi Lass et Rue Ahmed Al Majjati 4è ETG, Appt B4 Maarif Anfa 20010",0522 237176,0522 237176
Casablanca,EMIR TOURS,"84, Rue Oulad Ziane, Centre Commercial Abou Dhabi, 3ème ETG, n° 91",0522 543285,0522 543101
Casablanca,ENJAAZ TRAVEL,"Hay El Inara 1, Bd Qods n°548, ETG MA, Aïn Chok",neant,neant
Casablanca,ESPACE BILADI TRAVEL SERVICE,"650, Bd Med V, Imm n°F, Magasin n°3",0522 627323,0522 637242
Casablanca,ESPACE TOURISME,"3, Angle Bd Al Qods et Bd Sefrou, Hay Mly Abdellah Ain Chock",0522 503504,022 503778
Casablanca,ETOILE VOYAGES,"Centre Romandie II, 9 Bd Bir Anzarane",0522 393745,neant
