Province,Accommodation,Category/ranking,Email,Tel,Fax,Address
Agadir,Sindibad,2*,sinhot@menara.ma,028/82-34-77 028/82-23-23,028/84-24-74,Place Lahcen ou Brahim Tamri Talborjt 80000
Agadir,Solman,2*,5-mailinfo@agadir-hotel-solman.com,028/84-45-95 028/84-45-42,028/84-59-95,Av. Hassan II
Agadir,ADRAR,3*,,028/84-04-17 028/84-08-73,028/84-05-45,Av. Med.V
Agadir,Atlantic,3*,,028/84-36-61 028/84-36-62,028/84-36-60,Av. Hassan II BH. 53
Agadir,Cascades,3*,hotel.cascades@wanadoo.net.ma,028/82-60-23 028/82-60-16,028/82-16-71/82-60-24,"60, km d'agadir Immozer Ida-Outmane 80300"
Agadir,Jacaranda,3*,jacaranda hotel@futurnet.net.ma,028.23.27.17,028/23.27.16/84.09.71,Km4 Route d'Agadir Inezgane Benssergaou 
Agadir,Kamal,3*,hotelkamal@menara.ma,028/84-28-17 028/84-44-89,028/84-39-40,Av. Hassan II BP 80000
Agadir,Marhaba,3*,hotelmarhaba@menara.ma,028/84-06-70,028/84-35-29,"BP. 346, Av. Hassan II 80 000"
Agadir,Moussafir,3*,H2031@accor-hotels-com/bis@agadir.net.ma,028/23-28-42 à 47,028/23-28-49,Angle Av. Abdrrahim Bouabid & Rue Oued Ziz 80000
Agadir,Sud Bahia,3*,contact@sudbahiahotel.ma,028/84-07-82 028/84-63-35,028/84-63-86,Rue des Administrations Publiques BP. 335
Agadir,Tagadirt,3*,tagadirt@iam.net.ma,028/84-06-30 028/84-14-71,028/84-71-22 028/84-71-14,Bd. 20 Aout
Agadir,Transatlantique,3*,htransatlantique@menara.ma,028/84-21-10 028/84-21-12,028/84-20-75 028/84-20-76,Bd. Med. V
Agadir,Amadil,4*,amadil@tmenara.ma,028/84-26-20 028/84-02-15,048/84-22-48 028/84-16-12,Route de l'Oued Souss (Chemin  des dunes) 
Agadir,Anezi,4*,aneziàmenara.ma,028/84.09.40,048/84.07.13,Bd .Med .V BP.29 
Agadir,Argana,4*,contact@hotelargana.com,028/84-83-04 028/84-83-09,028/84.05.56,"Bd. Med V BP.93,80 000"
Agadir,Ibero Star,4*,fobcom@iberostar.com,028/84.44.44,028/84.48.48,Cite Founty BP.1039-a80000
Agadir,Kenzi Farah,4*,europa@kenzi-hotel.com,028 82 12 12/028.82.10.65,028/82.34.35,bd. DU 20 Août BP .808
Agadir,Oasis,4*,direction@hoteloasis.ma,028/84-33-13à15,028/84-42-60 028/84-22-21,Bd .Med V
Agadir,Odyssée,4*,odysseehotel@menara.ma,028.84.33.26/028.84.07.82,028.84.12.47028.84.59.95,Bd.Med .V BP.380 
Agadir,Omayedes,4*,,028/84-00-05 028/84-22-11,028/84-22-01,Bd. du 20 Aout Secteur Balnéaire
Agadir,Palais des roses,4*,reservation@palaisdesroses.ma,028/84-94-00,028/82-82-01/82.72.74,SecteurBalnéaire et Touristique Cité  Equnty
Agadir,RAMADA,4*,sales;agadir@ramaglobal.com,028/84.02.33/028.84.11.45,028/84.01.30,Bd.20 Août 
Agadir,ROYAL MIRAGE,4*,adel.attah@royalmiragehotels.com,028/84.32.32,028/84.43.79/028.84.26.51,80 000 BD.Med .V BP . .339
Agadir,Ryad Mogador ex Meli,4*,lti-almadina@menara.ma,028/84.53.53,028/84.53.08 048/84.53.18,Bd .du 20 Août 8000 .Secteur Balnéaires 
Agadir,Sahara,4*,hsahara@casanet-a.net.ma,028/84.06.60/028.84.02.25,028.84.06.48/028.84.07.38,BD.Med.V
Agadir,Tafoukt,4*,tafoukt@menara.com,028.84-07-23à27/028.84.09.86,028/84.09.71 048/84.09.72,"Boulvard du 20 août,80 000 "
Agadir,Teldi,4*,,,,
Agadir,Tikida,4*,resabeach@tikidahotels.co.ma,028.84-54-00/028.84.15.10,028.84-54-88/028.84.58.62,BP.901 Chemin des Dunes 80 000 
Agadir,Timoulay ex Tataroust,4*,,0 28 23 42 23 ,,Zone touristique founty
Agadir,Tivoli,4*,tivoli@menara.ma,05 28.84-76-40/84.76.41,05 28/84.76.16,Bd du 20 Août Secteur Touristique 80000 
Agadir,Beach Club,4* ,abcmaroc@marocnet.net.ma,028/84.43.43/028.84.43.25,028/84.08.63,Secteur Balnéaire BP.310 
Agadir,Atlantic Palace,5*,ap-dg@menara.ma,028.82.41.46/028.82.93.57,028/84.43.92,BP .194 Secteur Balnéaire et Touristique
Agadir,Royal Atlas,5*,,,,
Agadir,Sofitel ex  Millinuim,5*,H5701-AM@sofitel.com,05 28/82.00.88/82.48.22 à 26,0528/82.00.33028.82.34.39,BP.226 Founty PdaiepalmiersCommune de Ben sergaw 80007
Agadir,Tikida Bay Robinson,5*,,,,
Agadir,Imourane,Auberge,,061.16.68.01,028.82.41.90,Km 15 Rte. Essaouira dOUAR tAMGHAGHTE .78
Agadir,Agador,Hôtel club,resa.agadir@groupesahara.com,028-84-71-02/03,028-84-71-15,Bd de 20 Aout
Agadir,Club Med,Hôtel club,,028-4-05-42,028-4-07-40,chemin de l' Oued Souss S.T.B
Agadir,La Kasbah,Hôtel club,H3001@accor.com,028-84-01-36,028-84 03 75 /93,Bd. du 20 Août 80000
Agadir,Les Dunes d'Or,Hôtel club,dunesdor@fram.fr,028/ 82.99.00,028/82.12.74,Secteur Balnéaire et Touristique
Agadir,Sangho al moghar,Hôtel club,contact@hotelclubalmoggar.com,028-84-22-70/72/76,028-84-45-88,Bd. Med. V
Agadir,Tamlelt,Hôtel club,resa.agador@groupesahara.com,028-84- 71-01/84-71-03,028-84-03-28,Bd du 20 Aout
Agadir,Tikida Dunas,Hôtel club,jmartint@riu.com,028/84.90.90,028/84.90.99, Chemin des Dunes 80000
Agadir,Valtour S.A,Hôtel club,,028-84-48-25,028-84-33-75,Rue Oued Souss S.T.B Parcelle31
Agadir,Atlas Kasbah,Maison d'hôte,,,,
Agadir,Paradi nomade,Maison d'hôte,,0 71 12 15 35,,Commune Rurale de Drarge
Agadir,Riad des golfs,Maison d'hôte,riadgolf@menara.ma,0 28 33 70 37/33,0 28 33 54 55,Chemin des Français Aghrod Bensergao Agadir
Agadir,Riad villa blanche,Maison d'hôte,,,,
Agadir,  Fleurie,Résidence hôtelière,residencefleurie@menara.ma,028.84-42-69/028.84.36.24,028.84-42-74/028.84.39.29,Rue de la Foire
Agadir,Affoud,Résidence hôtelière,afoud@menara.ma,028.84-39-99/.84.39.63,028.84-37-09,Rue de la Foire BP. 467
Agadir,Agyad,Résidence hôtelière,info@residenceagyad.com,0 28 22 16 62 ,0 28 22 49 07,Lot G8 Founty Agadir
Agadir,Anezi,Résidence hôtelière,anzi@menara.ma,028.84.09.40,028.84.07.13,Bd. Med V
Agadir,Assaka,Résidence hôtelière,,0 28 82 82 73 ,,"101,Av Hassan II "
Agadir,Azour,Résidence hôtelière,,0 28 84 38 59 ,0 28 82 86 15,"Av, 29 Fevrier Agadir"
Agadir,Bab aourire,Résidence hôtelière,mafopa_babaourir@hotmail.com,0 28 31 55 54 ,0 28 31 49 22/23,Route Nationale N° 1 Aourir Centre Agadir
Agadir,Belrive,Résidence hôtelière,,028.84-51-99,028.84-01-99,Bd. Med V 80 000
Agadir,Flat hotel,Résidence hôtelière,info@flathotelagadir.ma,028.22.85.80,028.23.72.52,Lot G6 Founty
Agadir,Founty beach,Résidence hôtelière,,,,
Agadir,Golden Beach,Résidence hôtelière,appt_goldenbeach@menara.ma,0 28 21 12 41/43,0 28 21 12 42,Zone touristique founty
Agadir,Igoudar,Résidence hôtelière,Igoudar@iam.net.ma,028.84-55-54/028.84.03.99,028.84-55-43,Bd. 20 Août Secteur balnéaire 
Agadir,In  Touriste,Résidence hôtelière,r.intouriste@menara.ma,028.23.75.15,028.23.75.20,Lot G9 Founty Agadir BP 227
Agadir,Isni,Résidence hôtelière,,,,
Agadir,Karam,Résidence hôtelière,,028.84-42-49/55,028 84-12-34,10 Rue de la Foire BP 694
Agadir,Louban,Résidence hôtelière,,028.84-24-08/028.82.64.99,028.84-34-78,Av. Prince Heritier Sidi Med.
Agadir,Mer et Soleil,Résidence hôtelière,labiben@hotmail.com,028.84-15-53,028.84-15-53/028.84.52.31,Av. MOKHTAR SOUSSI
Agadir,NEJMA,Résidence hôtelière,hotelnejma@hotmail.com,028.84.19.75/028.82.87.83,84.60.75/82.87.84,Av. des f.a.r. 80 000
Agadir,Promahdia Taghazout,Résidence hôtelière,promahdia@yahoo.fr,0 28 82 37 92/0 61 26 82 46,0 28 82 38 01 ,Tahgazout 
Agadir,Rihab,Résidence hôtelière,contact@residancerihab.com,05 28.21.12.38/21.12.39,05 28.21.12.40,Lot G15 City Founty Sonaba  Agadir
Agadir,Sacha,Résidence hôtelière,residance sacha@agadir-maroc.com,028.84-11-67/028.82.55.68,028.84-19-82,Place de la Jeuness
Agadir,Schems,Résidence hôtelière,shems.1@menara.ma,528842882,,rue hotel de 
Agadir,Soraya,Résidence hôtelière,resoraya@iam.net.ma,028.82-78-08/028.82.78.09,028.82-08.08,Rue de la Foire BP. 359
Agadir,Tafoukt,Résidence hôtelière,tafouktbeach@iam.net.ma,028.84-07 23 /84.09.86,84.09.71,Bd. 20 Août 80 000
Agadir,Tilila,Résidence hôtelière,hotel.res.tilia@menara.ma,028-84.06.66/84 15 99/84 16 01,028-84.15.43,"Av. Général Kettani, 80 000"
Agadir,Tisslit,Résidence hôtelière,residencetislit@hotmail.com,028-82-02-39,028-82-04-22,Av prince sidi mohamed 
Agadir,Trois Borjs,Résidence hôtelière,,,,
Agadir,Yasmina,Résidence hôtelière,ryasmina@menara.ma,028-84-26-60,028-84-56-57,Rue de la Jeunesse
Al Hoceima,Al Kouzama Annex,1*,,039/84 16 11,039/98.56.96,Bd Med V Passage Soussan Yakoubi N° 4
Al Hoceima,Al Munecar,1*,,,,quartier cala bonita
Al Hoceima,Le Marrakech,1*,,039/98.10-58,,"106,Av.Mohamed V 2, Rue Abdellah Hammou"
Al Hoceima,Nekor,1*,,039-98--30-65,,20 Rue tahnaoute Place du Rif
Al Hoceima,Al Khouzama,2*,,039-98-56-81,039/98.56.96,Angle Rue Al Andalous&Rue Al Mourabitine
Al Hoceima,Amir Plage,2*,,,,
Al Hoceima,La marina,2*,,,,
Al Hoceima,Maghreb El Jadid,2*,,039/98.25.04 039/98.25.05,039/98.25.05,"56,Bd.MohamedV"
Al Hoceima,National,2*,,039-98-26-41,,"23,Rue Tetouan"
Al Hoceima,Villa Florido ex etoile ,2*,,039-84-08-47:039-84--08-48,,"40,Place du Rif"
Al Hoceima,La perla,3*,,0 39 98 45 13,0 39 98 45 12,Boulvard Tarik BEN ziad
Al Hoceima,Mohamed V,3*,NAIM 2@IAM.NET.MA,039/98.22.33 039/98.22.34,039/98.33.14,Place de la Marche verte
Al Hoceima,Tidghine,4*,hoteltidghine@gmail.com,039/81.30.16,039/98.30.16,Issagen Ketama  Province d'Al Hoceima 
Al Hoceima,Chafarina Beach,Résidence hôtelière,chafarinasbeach@menara.ma,039-84-16-01/02/03/04,039-84-16-05,Commune Rurale d'Izemmouren Km 5 d'Al Hoceima PlageTala Youssef
Al Hoceima,Noumedia ,Résidence hôtelière,,,,"60,rue al alaouiyin al hoceima "
Asilah,Dar andalous,1*,,0 39 41 78 40,,"30,Rue Banafssaj Assilah"
Asilah,EL Mansour,1*,,039/41-73-90 Bouanani ,039/41-75-33,"56, Av .Med V "
Asilah,Azayla,2*,h.asayla@menara.ma,039-41-67-17,039-41-26-00,"N°20, Rue ibn Rochd"
Asilah,Oude el Makhazine,2*,,039-41-70-90,039-41-75-00,"10, Av . Mellilla "
Asilah,Al khaima,3*,alkhaima@menara.com,039/41-74-28,039/41-75-66,BP .101 Route de Tanger km2 
Asilah,Zelis,3*,,039-41-70-69,039/41-70-98,"10, Av . Mansour Eddahbi  90050"
Asilah,Alba,Maison d'hôte,,,,lot annakhil n°3
Asilah,Dar Manara,Maison d'hôte,info@asilah-darmanara.com,0 39 41 69 64,,rue maimana N°23 Asilah
Asilah,Dar zuina,Maison d'hôte,www.darzouina.com,071-27-36-29/0 61 24 38 09,,Douar DCHAR EI HOUMAR CENTRE D'AZILAH B.P 244 ASSILAH 90050
Asilah,Oualili,Maison d'hôte,,039-44-99-29,,DOUAR DCHAR EL HOUMAR CENTRE D'ASSILAH 
Asilah,El manzah,Pension,,,,
Asilah,Jadaira,Pension,,,,
Asilah,Briech,Résidence hôtelière,arcsbriech@menara.ma,039/41.63.58,039/41.65.24,Route d'Azilah kM36
Asilah,Ibn Rochd1,Résidence hôtelière,,,,
Asilah,Ibn Rochd2,Résidence hôtelière,,539417633,,avenue ibn rochd
Asilah,Safia El jabri,Résidence hôtelière,,,,rue ibn sina
Assa-Zag,Nidaros,3*,,028.70.05.05/068 13 80 05/073 907588,028.70.05.05,"Assa, 81002"
Azilal,Assounfou,1*,,023-45.92.20,023/45.84.42,Av. Hassan II Centre Azilal
Azilal,Atles Demnat,1*,,,,
Azilal,Tanout,1*,,-233,023/45.82.81,Av. Hassan II Quartier Tanoute
Azilal,Chems bin el ouidane,4*,,,,
Azilal,Tazerkount,4*,HOTEL@TAZARKOUNT.COM,023-44-01-01,023-44-00-94,centre Afourer
Azilal,AubduLac,Auberge,,023-44-24-65,023-44-24-30/023--44-24--65,C.Rde Bin el ouidane
Azilal,Dar Fath Allah Amin,Auberge,,,,
Azilal,Dar Talmoute,Auberge,,023-99-40-56/061-13-27-40,023-99-40-56,Ait Halouan Commune Rurale de Bin el Ouidane
Azilal,Abin,Maison d'hôte,,0 23 442600/0 61430007,,bine Al Ouidane Azilal
Azilal,Aghbalou,Maison d'hôte,,0 523 50 74 98,,Iminifri .Demnate R.C Azilal
Azilal,Binazi,Maison d'hôte,,0 23 45 82 61,,
Azilal,Dar ahansal oulkadi ,Maison d'hôte,,06 78 96 25 84 ,,
Azilal,Leau de vive,Maison d'hôte,,0 523 44 29 34 /0 662 17 80 11,,Bin El ouidane 
Azilal,Riad Dar Fatna,Maison d'hôte,,0 67 02 84 15/0 61 25 60 25 ,,"2,5km de foum jemaa vers tanante et cascades d'ouzoud Azilal"
Azilal,Riad des cascades,Maison d'hôte,reservation@ouzoud.com,0 523 42 91 73/75,,
Azilal,Tindaf,Maison d'hôte,contact@Kasbah-Timdaf.com,0 523 50 71 78,,Demnate 
Azilal,Touda ex marghadi,Maison d'hôte,,0 662 14 42 85,,Ville Des Bougmes 
Azilal,Widiane,Maison d'hôte,,,,
Azilal,Assounfou,Résidence hôtelière,,,,
Azilal,Ighboula,Résidence hôtelière,,0 523 42 91 97/0 668 28 87 23,,Route Ait Atabe Sortie Ouzoude  
Azilal,Rsidence tour,Résidence hôtelière,,,,
Azilal,Tamga,Résidence hôtelière,,0 670 0 3 00 65/0 670 16 15 92,0 523 44 23 41,Ouaoulzerth Azilal
Béni Mellal,Ain Asserdoun,1*,,023-48-34-93,023-48-34-93,Av. des F.A.R.
Béni Mellal,Charaf,1*,hotelzidania@yahoo.fr,023-48-12-21,023/42.26.65,Av. des F.A.R. 
Béni Mellal,HENRI 4,1*,,023-41-50-02,023-41-50-02,Quartier Administratif El Ksiba
Béni Mellal,Holiday,1*,,0523.48..31.35,,Av. 20 Aout Beni Mellal 
Béni Mellal,Kamal,1*,,023-48-69-41,023-48-69-41,Av. des F.A.R. en face la gare routière
Béni Mellal,Sofaris,1*,,,,"n°207 ,Avenue Hassan II, ville de fkih ben saleh"
Béni Mellal,Venisia,1*,,023/48.23.48,023/48.23.48,5 Bd. du 20 Août
Béni Mellal,Vieux Moulin,1*,,023/48.27.88,023/48.27.88,Route de Kasba Tadla (Bd Med V)
Béni Mellal,Zidania,1*,hotelzidania@yahoo.fr,023-48-18-98,023-48-18-98,Bd. Des F.A.R. en face de la gare routière
Béni Mellal,Ain asserdoun2,2*,,023-48-33-61,023-48-66-92,270 Av. Med V
Béni Mellal,Alicanti,2*,www-alicanti.com,023-42-15-55,023-48-74-44,Bd. les F.A.R Beni Mellal
Béni Mellal,Beni Atlas,2*,,023-42-02-64,023-48-82-98,Agl. Bd. Hassan II & Rue Chawki
Béni Mellal,Beni day inn ex kader,2*,,023/48.61.77,023/42.43.22,Bd. 20 Août Lot. Asmaâ
Béni Mellal,Dar Assalam,2*,,023-42-33-19,023-48-78-23,Lotissement Nizar Lots 4.5 et 6 Bd Med V
Béni Mellal,Gharnata,2*,hotelgharnata@menara.ma,023-48-34-82,023/48.82.98,237 Bd. Med V
Béni Mellal,Ksar Diafa,2*,,023/43.01.88,023/43.01.89,N° 1 Av. Med. V Souk Sebt Ouled Nemma
Béni Mellal,Paris,2*,hotel_paris@menara.com,023-48-22-45,023-48-42-27,Nouvelle Medina Rue Ibn Sina
Béni Mellal,Al Bassatine,3*,al_bassatine@yahoo.fr,023-48-68-05,023-48-68-06,Quartier Ouled Hamdane route F.B Salah
Béni Mellal,Belle Vue,3*,,023-41-87-31/023-41-87-32,023-41-87-32/021-41-87-33,Route Nationale 24 Marrakech-Fés
Béni Mellal,Ain Asserdoun,4*,,,,CR ouled yaich
Béni Mellal,Chems,4*,cems@iam.net.ma,023-48-34-60,023-48-39-87,Km 2 route de Marrakech BP 561
Béni Mellal,Ouzoud,4*,ouzoud@sagatour.ma,023-48-37-52,023-48-85-30,Km 3 Route de Marrakech BP. 93
Béni Mellal,FH Mougj,Maison d'hôte,,,,
Benslimane,La Madrague,2*,,0523-32.20.20/65,023/29.16.26,Munisipalité AL Mansouria Route Cotiére n°222 sortie Ben Slimane Mohamedia Ben Simane
Benslimane,Ziaida,4*,,023-29.19.26/17,023/29.16.26,Av. la Princesse Lalla Aîcha
Benslimane,Dar sellam,Hôtel club,,06 61 11 37 46/0 667633053,,Douar oueld Bourouisse Fedalete  Ben Slimane
Benslimane,Lakalaa,Maison d'hôte,,0 61 14 49 81/0 22 66 22 49,,Km 7 Route de Benslimane Bouznika
Benslimane,Les ruisseaux,Maison d'hôte,,0 5.23.29.82.31,0 22 25 89 06,C.R Ain Tizgha Douar laayoune  Ben Slimane
Benslimane,Centre de la foret,Résidence hôtelière,centrelaforetmaroc@menara.ma,0 61 17 76 46,0 22 25 89 06,Cmmune Rurale Ain Til Benslimane
Benslimane,Skoura,Résidence hôtelière,,0523-31-19-93 /94,023-31-19-95,Municipalité AL MANSOURIA Plage Tilal 
Benslimane,Zimer Beach Residences,Résidence hôtelière,,05 23 32 20 20/65,0 23 316756,Plage Tilal Pond Blondin Mansouria
Berkane,Rosalina,2*,rosalina_hotel@hotmail.fr,0 536 61 89 92/93,0 536 61 89 95,"82,bd Mohamed V hay  el Hssani Berkane"
Berkane,Zaki,3*,,0536.61.37.43/036 61 99 00,0536.61.46.55,Rue de Berkane
Berkane,Complex Ramdani ,Résidence hôtelière,c.ramdani@menara.ma,0536-62-03-30,0536-62-03-89,BP. 341 C.R. de Fezouane
Boulemane,Afrique hébergement,2*,lymani@menara.ma,035/58.50.11,035/58.56.52,"Bd HassanII ,Missour"
Boulemane,Baroudi,3*,,035/58.56.51,035/58.52.53,Bd.Bassatine Missour
Casablanca,arraha,1*,,022/37.97.33à34,022/38.47.98,BD driss Al Harti coté marché de gros Sidi Otman
Casablanca,balmoral,1*,,022-26-01-15,022 30 08 99,"9, Rue Allal Al Fassi"
Casablanca,de noaille,1*,,022-26 05 83,022-22-05-89,"22, Bd. Du 11 Janvier"
Casablanca,du centre,1*,,022-44-61-80,022-44-61-78,"1, Rue sidi belyout"
Casablanca,excelsiore,1*,,022.20-02 63,022.26-22-81,"2, Rue  Nolly"
Casablanca,lausanne,1*,,022.26-86-90,022.26.80.83,"24, Rue Tata (Ex. Poicaré)"
Casablanca,Le Palais,1*,,,,64.72.74 rue Farhat Hachad
Casablanca,majestic,1*,,022.31-09-51,022.44-62-85,55 Bd.Lalla Yacout
Casablanca,Mauritania,1*,hotelmauritania@menara.ma,022.31 36 16,022.30 71 71,"32, Rue faidi Khalifa"
Casablanca,Rio,1*,,022.27 78 96/99,022 27 78 91, 16.Av.Hoummane Fetouaki Passage Abitbol  
Casablanca,triomphe,1*,,022.20 00 26,022.29.82.07,"11, Passage Sumica, Bd. Med V"
Casablanca,Astoria,2*,,022-30-74 17,022-44-05-77,"63, Rue d'Azilal (Ex.Dupleix)"
Casablanca,Astrid,2*,hotelayoub@menara.ma,022-27-78-03,022-29-33-72,"12, Rue 6 Novembre (Ex.ledru-Rollin)"
Casablanca,Casablanca,2*,------,022.44-02-02,022.31-84-04,83-85 Bd. La liberté-Ben Jdia
Casablanca,Central,2*,,,,20 place Ahmed El Bidaoui Medina
Casablanca,De Paris,2*,,022.27-42 75,022.29-80-69,"N°2, Rue Cherif Amiziane (Ex.Banly Angle  Prince Mly Abdellah"
Casablanca,East West,2*,,022-20-02-10,022-20-00-70,"10,Bd Hassan Souktani Gautier"
Casablanca,Jnane Fedala,2*,,,,"Abderrahmane Serghini, Mohamedia"
Casablanca,la Cote,2*,,022.36-03-86,022.36-04-13,"52, Bd. de la Corniche Ain Diab"
Casablanca,Manar,2*,,,,Angle Av Med V et rue Chaouia
Casablanca,Metropole,2*,,022.30-12 13,022.30-58-01,"89, Rue Med Smiha"
Casablanca,Monparnasse,2*,,,,
Casablanca,plaza,2*,,022.26 90 19,022.27 64 39,"18, Bd. Félix Houphoêt Boigny"
Casablanca,Prince de Paris ex Mounia,2*,al.mounia.hotel@iam.net.com,022.20-32-16,022.22-33-14,"24 bis, BD Boulevard de Paris 20000"
Casablanca,SALIM,2*,,022/20.44.41,022/20.44.95,35. Rue El Ararr
Casablanca,Volubilis,2*,infotransatcasa.com,022 29 52 04,022 79 76 16,20 22 rue Abdelkrim Diouri
Casablanca,windsor,2*,,022.20-03-52,022.20-03-87,"93, Place Oued El Mkhazine"
Casablanca,Ytto,2*,ytohotel@hotmail.com,0 522 42 98 70,0 522 98 10 12,Rue Taoufik AL Hakim Quartier Gauthier
Casablanca,Amoud,3*,,0522.22.05.04,,51 rue Tahar Sebti Centre VIille
Casablanca,Anfa Port,3*,anfaporthotel@menara.ma,0 22 26 77 80/26 79 81/26 81 42,0 22 26 78 33,Anfa Casablanca
Casablanca,Atlas airport,3*,casaairporthhotel@hotelsatlas.com,022/53-62-00,022//53-62-(01,Aéroport Med V Nouaceur
Casablanca,Azur,3*,azurh@menara.ma,022.79.74.93,022.79.75.93,"41, Bd de la Cornicha Ain Diab"
Casablanca,Belle rive,3*,reservations@bellriv.com,022.79.75.04,022.79.76.39,"38, Bd Corniche Ain Diab"
Casablanca,Business,3*,,05.22-47-47-09,,6 Rue jenner sur Bd Abdelmoumen
Casablanca,Guynemer,3*,hotelguynemer@yahoo.com,022.27-57-64,022.47-39-99,"2, Rue Med Belloul (Ex Pegoud) CP 20000"
Casablanca,Ibis casa city center,3*,H6573@accor.com,0 22 46 65 60 ,0 22 46 65 61,
Casablanca,Ibis Casa voyageur,3*,H2032-GM@accor.com,022-40-19-84,022.40.07.99,Av. Bahmad casa voyageurs
Casablanca,Ibis Sidi Marrouf,3*,h6289@accor.com,022 58 23 70/58 23 74,022 58 23 71 ,Lotissement la Colline 2 sidi maarouf
Casablanca,Les Saisons,3*,reservation@hotellessaisonsmaroc.ma,022-49-09-01,022-48-16-97,19 Rue al Oraîbi Jilali
Casablanca,Maamora,3*,hotelmaamora@yahoo.fr,022-45-29-67/68,022-45-29-69,"59, Rue Ibn Batouta"
Casablanca,Nayel Ajyad,3*,ajiad@menara.ma,022.44.92.26,022.44.92.28,Angle R Fakir Med et Kamal Med Sidi Belyout
Casablanca,Rania Belmadina,3*,raniabelmadina@menara.ma,022.98.48.92,022.77.41.94,"32, Bd. du 9 Avril Angle R et Mortada Palmier M. Mohamed Ali"
Casablanca,Transatlantic,3*,info@transatcasa.com,022.29-52-04,22.294792,"79, Rue Chaouia "
Casablanca,Tropicana,3*,SBM_@menara.ma,022.79-75-95/96,022.79-76-16,Bd de la Corniche Ain Diab
Casablanca,Almohades,4*,casa.almohade@ramadaglobal.com,022.22.02.46,022.26-02-42,Av.Moulay Hassan 1er
Casablanca,Art palace hotel,4*,,,,4 rue Soldat Ben Hammou Gautier
Casablanca,Barcelo,4*,,022.20.80.00,022.20.70.20.,"139,Bd. D'anfa"
Casablanca,Diwan,4*,,,,Bd Hassan Seghir (TF 1373 c)
Casablanca,Golden Tulip Hoteldes Arts,4*,faridarosche@hotmail.com,022 96.54.50 /96.58.50,022/96.58.47,1120 Jack Beach  dar Bouaza
Casablanca,Idou D'Anfa,4*,info@hotel-idouanfa.com,022.20-01-36,022.20-00-29,"85, Bd d'Anfa 20000"
Casablanca,Kenzi Basma,4*,s.khass@kenzi-hotels.com,022 20-39-29,022 26-89-36,"35, Av. Hassan 1er"
Casablanca,La Corniche,4*,info@corniche-casa.com,022.79.81.81,022.79.74.67,Bd de la Corniche Ain Diab 21 300
Casablanca,Le Litoral,4*,hotellittoral@menara.ma,022.94-35-35,022.94-35-33,"Bd de l'Ocean Atlantique, Ain Diab"
Casablanca,Novotel Casa City centre,4*,h6572@accor.com,0 22 46 65 00,0 22 46 65 01,Angle rue oum hamad-Sidi Baliout
Casablanca,Oum Palace,4*,,022 20 15 00 ,,12 Rue Kamal Mohamed
Casablanca,Riad Salam,4*,contact@groupesalam.com,022/39-13-13,022/39-13-45,Bd. de la Corniche Aid Diab
Casablanca,RIVOLI ex elkandara,4*,,022.26-15-60,022.22-06-17,"44, Bd d'Anfa 21000"
